date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:01:46	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Sep%202023%2009:01:48%20GMT	https://caacongo.com/robots.txt		(from )
11:01:48	12705/12705	---M-Z	200	added ('OK')	text/html	etag:%2231a1-5f5ec93a88e5b-gzip%22	https://caacongo.com/	D:/Mes%20Projets/web/caa/caacongo.com/index.html	(from )
11:01:50	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2020%20Sep%202023%2009:01:53%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/Mes%20Projets/web/caa/www.googletagmanager.com/gtm.05445.delayed	(from https://caacongo.com/)
11:02:01	35786/35786	---M--	200	added ('OK')	text/css	etag:%228bca-58232f75f85d3%22	https://caacongo.com/css/icomoon.css	D:/Mes%20Projets/web/caa/caacongo.com/css/icomoon.css	(from https://caacongo.com/)
11:02:02	7781/7781	---M--	200	added ('OK')	text/css	etag:%221e65-58232f765040e%22	https://caacongo.com/css/magnific-popup.css	D:/Mes%20Projets/web/caa/caacongo.com/css/magnific-popup.css	(from https://caacongo.com/)
11:02:03	73008/73008	---M--	200	added ('OK')	text/css	etag:%2211d30-58232f799333b%22	https://caacongo.com/css/animate.css	D:/Mes%20Projets/web/caa/caacongo.com/css/animate.css	(from https://caacongo.com/)
11:02:05	3630/3630	---M--	200	added ('OK')	text/css	etag:%22e2e-58232f757a63a%22	https://caacongo.com/css/owl.carousel.min.css	D:/Mes%20Projets/web/caa/caacongo.com/css/owl.carousel.min.css	(from https://caacongo.com/)
11:02:07	6864/6864	---M--	200	added ('OK')	text/css	etag:%221ad0-58232f758cf19%22	https://caacongo.com/css/flexslider.css	D:/Mes%20Projets/web/caa/caacongo.com/css/flexslider.css	(from https://caacongo.com/)
11:02:07	972/972	---M--	200	added ('OK')	text/css	etag:%223cc-58232f71b6894%22	https://caacongo.com/fonts/flaticon/font/flaticon.css	D:/Mes%20Projets/web/caa/caacongo.com/fonts/flaticon/font/flaticon.css	(from https://caacongo.com/)
11:02:07	2315/2315	---M--	200	added ('OK')	text/css	etag:%2290b-58232f768bd2a%22	https://caacongo.com/css/owl.theme.default.min.css	D:/Mes%20Projets/web/caa/caacongo.com/css/owl.theme.default.min.css	(from https://caacongo.com/)
11:02:08	215/215	---M--	200	added ('OK')	text/css	etag:%22d7-58ed431df4f23%22	https://caacongo.com/css/canvas.css	D:/Mes%20Projets/web/caa/caacongo.com/css/canvas.css	(from https://caacongo.com/)
11:02:10	17946/17946	---M--	200	added ('OK')	text/css	etag:%22461a-58232f759f7f8%22	https://caacongo.com/css/bootstrap-datepicker.css	D:/Mes%20Projets/web/caa/caacongo.com/css/bootstrap-datepicker.css	(from https://caacongo.com/)
11:02:17	15413/15413	---M--	200	added ('OK')	application/javascript	etag:%223c35-58232f5153a46%22	https://caacongo.com/js/modernizr-2.6.2.min.js	D:/Mes%20Projets/web/caa/caacongo.com/js/modernizr-2.6.2.min.js	(from https://caacongo.com/)
11:02:19	209134/209134	---MCZ	200	added ('OK')	text/javascript	etag:W/%224102a9866ea9e74e30471cbdada6b247%22	https://js.convertflow.co/production/websites/5800.js	D:/Mes%20Projets/web/caa/js.convertflow.co/production/websites/5800.js	(from https://caacongo.com/)
11:02:20	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Sep%202023%2009:02:23%20GMT	https://caacongo.com/slide/css/example.css	D:/Mes%20Projets/web/caa/caacongo.com/slide/css/example.e.delayed	(from https://caacongo.com/)
11:02:20	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Sep%202023%2009:02:23%20GMT	https://caacongo.com/slide/css/font-awesome.min.css	D:/Mes%20Projets/web/caa/caacongo.com/slide/css/font-awesome.min.css	(from https://caacongo.com/)
11:02:21	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Sep%202023%2009:02:23%20GMT	https://caacongo.com/slide/img/pagination.png	D:/Mes%20Projets/web/caa/caacongo.com/slide/img/pagination.png	(from https://caacongo.com/)
11:02:22	11128/11128	---M-Z	200	added ('OK')	text/html	etag:%222b78-5bdd13786feaf-gzip%22	https://caacongo.com/contacts.html	D:/Mes%20Projets/web/caa/caacongo.com/contacts.html	(from https://caacongo.com/)
11:02:23	45401/45401	---M--	200	added ('OK')	text/css	etag:%22b159-5979f9fbe5054%22	https://caacongo.com/css/style.css	D:/Mes%20Projets/web/caa/caacongo.com/css/style.css	(from https://caacongo.com/)
11:02:26	134684/134684	---M--	200	added ('OK')	text/css	etag:%2220e1c-5979f9f0b7bb7%22	https://caacongo.com/css/bootstrap.css	D:/Mes%20Projets/web/caa/caacongo.com/css/bootstrap.css	(from https://caacongo.com/)
11:02:26	15951/15951	---M-Z	200	added ('OK')	text/html	etag:%223e4f-5bdd137ba7261-gzip%22	https://caacongo.com/membres.html	D:/Mes%20Projets/web/caa/caacongo.com/membres.html	(from https://caacongo.com/)
11:02:27	12705/12705	---M-Z	200	added ('OK')	text/html	etag:%2231a1-5f5ec93a88e5b-gzip%22	https://caacongo.com/index.html	D:/Mes%20Projets/web/caa/caacongo.com/index-2.html	(from https://caacongo.com/)
11:02:39	10170/10170	---M--	200	added ('OK')	image/jpeg	etag:%2227ba-58232f60f5896%22	https://caacongo.com/images/logo.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/logo.jpg	(from https://caacongo.com/)
11:02:40	1432/1432	---M-Z	200	added ('OK')	text/html	etag:%22598-6013eff403fac-gzip%22	https://caacongo.com/horaires.html	D:/Mes%20Projets/web/caa/caacongo.com/horaires.html	(from https://caacongo.com/)
11:02:41	9677/9677	---M-Z	200	added ('OK')	text/html	etag:%2225cd-5f1d451edbd04-gzip%22	https://caacongo.com/destinations.html	D:/Mes%20Projets/web/caa/caacongo.com/destinations.html	(from https://caacongo.com/)
11:02:42	9411/9411	---M-Z	200	added ('OK')	text/html	etag:%2224c3-5ee3ed2c57452-gzip%22	https://caacongo.com/reservation.html	D:/Mes%20Projets/web/caa/caacongo.com/reservation.html	(from https://caacongo.com/)
11:02:42	9041/9041	---M-Z	200	added ('OK')	text/html	etag:%222351-5f5ec5be1d26b-gzip%22	https://caacongo.com/agents.html	D:/Mes%20Projets/web/caa/caacongo.com/agents.html	(from https://caacongo.com/)
11:02:42	14832/14832	---M-Z	200	added ('OK')	text/html	etag:%2239f0-5bdd1379b903d-gzip%22	https://caacongo.com/horizons.html	D:/Mes%20Projets/web/caa/caacongo.com/horizons.html	(from https://caacongo.com/)
11:02:45	12483/12483	---M-Z	200	added ('OK')	text/html	etag:%2230c3-5bdd1378eede8-gzip%22	https://caacongo.com/cargo.html	D:/Mes%20Projets/web/caa/caacongo.com/cargo.html	(from https://caacongo.com/)
11:02:52	57366/57366	---M--	200	added ('OK')	image/jpeg	etag:%22e016-5bc02b884300b%22	https://caacongo.com/images/img_bg_1.jpg	D:/Mes%20Projets/web/caa/caacongo.com/images/img_bg_1.jpg	(from https://caacongo.com/)
11:02:54	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Sep%202023%2009:02:56%20GMT	https://caacongo.com/conditions.html	D:/Mes%20Projets/web/caa/caacongo.com/conditions.1e.delayed	(from https://caacongo.com/)
11:02:57	8111/8111	---M--	200	added ('OK')	application/javascript	etag:%221faf-58232f4f2dd87%22	https://caacongo.com/js/jquery.easing.1.3.js	D:/Mes%20Projets/web/caa/caacongo.com/js/jquery.easing.1.3.js	(from https://caacongo.com/)
